timeSec,estimatedX,estimatedY,estimatedHeadingDeg,truthX,truthY,truthHeadingDeg,translationErrorMeters,headingErrorDegrees
10.676,0.00000,0.00000,26.339,0.25308,-1.17059,18.852,1.19764,7.487
10.700,0.00000,0.00000,26.342,0.24685,-1.17411,18.852,1.19978,7.489
10.719,0.00000,0.00000,26.342,0.24213,-1.17677,18.852,1.20142,7.490
10.739,0.00000,0.00000,26.342,0.23782,-1.17920,18.852,1.20295,7.490
10.759,0.00000,0.00000,26.342,0.23387,-1.18143,18.852,1.20436,7.490
10.779,0.00000,0.00000,26.342,0.23026,-1.18347,18.852,1.20566,7.490
10.797,0.00000,0.00000,26.340,0.22758,-1.18498,18.852,1.20664,7.488
10.817,0.00000,0.00000,26.341,0.22449,-1.18672,18.852,1.20777,7.489
10.838,0.00000,0.00000,26.340,0.22112,-1.18863,18.852,1.20902,7.488
10.858,0.00000,0.00000,26.339,0.21905,-1.18979,18.852,1.20979,7.487
10.878,0.00000,0.00000,26.340,0.21620,-1.19140,18.852,1.21086,7.488
10.895,0.00000,0.00000,26.340,0.21446,-1.19239,18.852,1.21152,7.488
10.917,0.00000,0.00000,26.340,0.21244,-1.19353,18.852,1.21229,7.488
10.935,0.00000,0.00000,26.339,0.21057,-1.19458,18.852,1.21300,7.487
10.955,0.00000,0.00000,26.340,0.20886,-1.19555,18.852,1.21365,7.488
10.978,0.00000,0.00000,26.338,0.20727,-1.19644,18.852,1.21426,7.486
10.998,0.00000,0.00000,26.337,0.20553,-1.19743,18.852,1.21494,7.485
11.017,0.00000,0.00000,26.338,0.20445,-1.19803,18.852,1.21535,7.486
11.039,0.00000,0.00000,26.337,0.20296,-1.19887,18.852,1.21593,7.484
11.055,0.00000,0.00000,26.336,0.20204,-1.19940,18.852,1.21629,7.484
11.077,0.00000,0.00000,26.337,0.20096,-1.20000,18.852,1.21671,7.485
11.099,0.00000,0.00000,26.339,0.19977,-1.20068,18.852,1.21718,7.487
11.119,0.00000,0.00000,26.337,0.19885,-1.20120,18.852,1.21754,7.485
11.135,0.00000,0.00000,26.336,0.19815,-1.20159,18.852,1.21782,7.484
11.155,0.00000,0.00000,26.336,0.19734,-1.20205,18.852,1.21814,7.484
11.178,0.00000,0.00000,26.334,0.19643,-1.20256,18.852,1.21850,7.482
11.197,0.00000,0.00000,26.335,0.19587,-1.20288,18.852,1.21872,7.483
11.218,0.00000,0.00000,26.334,0.19507,-1.20333,18.852,1.21904,7.482
11.235,0.00000,0.00000,26.332,0.19457,-1.20361,18.852,1.21924,7.480
11.258,0.00000,0.00000,26.330,0.19386,-1.20401,18.852,1.21952,7.478
11.276,0.00000,0.00000,26.333,0.19341,-1.20426,18.852,1.21970,7.481
11.299,0.00000,0.00000,26.332,0.19278,-1.20462,18.852,1.21995,7.480
11.319,0.00000,0.00000,26.332,0.19228,-1.20490,18.852,1.22015,7.480
11.337,0.00000,0.00000,26.331,0.19189,-1.20512,18.852,1.22030,7.479
11.358,0.00000,0.00000,26.332,0.19135,-1.20543,18.852,1.22052,7.480
11.379,0.00000,0.00000,26.332,0.19091,-1.20567,18.852,1.22069,7.480
11.396,0.00000,0.00000,26.329,0.19058,-1.20586,18.852,1.22083,7.477
11.416,0.00000,0.00000,26.326,0.19018,-1.20609,18.852,1.22099,7.474
11.438,0.00000,0.00000,26.326,0.18972,-1.20635,18.852,1.22117,7.474
11.459,0.00000,0.00000,26.325,0.18935,-1.20655,18.852,1.22132,7.473
11.479,0.00000,0.00000,26.327,0.18899,-1.20676,18.852,1.22147,7.475
11.498,0.00000,0.00000,26.326,0.18872,-1.20691,18.852,1.22158,7.474
11.516,0.00000,0.00000,26.326,0.18838,-1.20710,18.852,1.22171,7.474
11.538,0.00000,0.00000,26.326,0.18806,-1.20729,18.852,1.22184,7.474
11.556,0.00000,0.00000,26.326,0.18774,-1.20747,18.852,1.22197,7.474
11.577,0.00000,0.00000,26.327,0.18743,-1.20764,18.852,1.22210,7.475
11.598,0.00000,0.00000,26.326,0.18707,-1.20784,18.852,1.22224,7.474
11.616,0.00000,0.00000,26.327,0.18683,-1.20798,18.852,1.22234,7.475
11.640,0.00000,0.00000,26.326,0.18649,-1.20817,18.852,1.22248,7.474
11.655,0.00000,0.00000,26.327,0.18626,-1.20830,18.852,1.22257,7.475
11.678,0.00000,0.00000,26.330,0.18599,-1.20845,18.852,1.22268,7.478
11.698,0.00000,0.00000,26.330,0.18572,-1.20860,18.852,1.22279,7.478
11.718,0.00000,0.00000,26.329,0.18546,-1.20875,18.852,1.22289,7.477
11.736,0.00000,0.00000,26.328,0.18521,-1.20889,18.852,1.22300,7.476
11.756,0.00000,0.00000,26.329,0.18496,-1.20903,18.852,1.22310,7.477
11.779,0.00000,0.00000,26.327,0.18467,-1.20920,18.852,1.22322,7.475
11.798,0.00000,0.00000,26.328,0.18444,-1.20933,18.852,1.22331,7.476
11.816,0.00000,0.00000,26.327,0.18425,-1.20943,18.852,1.22339,7.475
11.839,0.00000,0.00000,26.327,0.18398,-1.20958,18.852,1.22350,7.475
11.858,0.00000,0.00000,26.327,0.18377,-1.20971,18.852,1.22358,7.475
11.875,0.00000,0.00000,26.327,0.18359,-1.20980,18.852,1.22365,7.475
11.897,0.00000,0.00000,26.327,0.18339,-1.20992,18.852,1.22374,7.475
11.918,0.00000,0.00000,26.327,0.18318,-1.21004,18.852,1.22382,7.475
11.938,0.00000,0.00000,26.325,0.18294,-1.21017,18.852,1.22392,7.473
11.955,0.00000,0.00000,26.325,0.18279,-1.21026,18.852,1.22398,7.473
11.978,0.00000,0.00000,26.323,0.18256,-1.21038,18.852,1.22408,7.471
11.996,0.00000,0.00000,26.323,0.18242,-1.21047,18.852,1.22414,7.471
12.018,0.00000,0.00000,26.325,0.18224,-1.21057,18.852,1.22421,7.473
